data,SO2,NO2,PM10,city
2009-06-01,0.037,0.031,0.098,城市A
2009-06-02,0.034,0.027,0.067,城市A
2009-06-03,0.027,0.025,0.039,城市A
2009-06-04,0.04,0.035,0.067,城市A
2009-06-05,0.035,0.03,0.076,城市A
2009-06-06,0.027,0.021,0.056,城市A
2009-06-07,0.026,0.023,0.047,城市A
2009-06-08,0.026,0.023,0.061,城市A
2009-06-09,0.027,0.019,0.051,城市A
2009-06-10,0.025,0.018,0.038,城市A
2009-06-11,0.036,0.024,0.061,城市A
2009-06-12,0.028,0.017,0.055,城市A
2009-06-13,0.032,0.025,0.05,城市A
2009-06-14,0.035,0.019,0.049,城市A
2009-06-15,0.037,0.027,0.074,城市A
2009-06-16,0.044,0.031,0.128,城市A
2009-06-17,0.029,0.029,0.102,城市A
2009-06-18,0.033,0.026,0.085,城市A
2009-06-19,0.031,0.023,0.095,城市A
2009-06-20,0.045,0.023,0.129,城市A
2009-06-21,0.032,0.022,0.105,城市A
2009-06-22,0.033,0.021,0.068,城市A
2009-06-23,0.033,0.024,0.075,城市A
2009-06-24,0.056,0.035,0.1,城市A
2009-06-25,0.059,0.041,0.101,城市A
2009-06-26,0.065,0.049,0.148,城市A
2009-06-27,0.051,0.03,0.068,城市A
2009-06-28,0.044,0.021,0.101,城市A
2009-06-29,0.066,0.024,0.062,城市A
2009-06-30,0.035,0.018,0.053,城市A
2009-07-01,0.052,0.023,0.038,城市A
2009-07-02,0.045,0.025,0.03,城市A
2009-07-03,0.057,0.034,0.063,城市A
2009-07-04,0.076,0.043,0.093,城市A
2009-07-05,0.073,0.036,0.089,城市A
2009-07-06,0.056,0.028,0.077,城市A
2009-07-07,0.07,0.031,0.051,城市A
2009-07-08,0.049,0.029,0.061,城市A
2009-07-09,0.034,0.026,0.041,城市A
2009-07-10,0.037,0.04,0.096,城市A
2009-07-11,0.026,0.027,0.058,城市A
2009-07-12,0.023,0.029,0.065,城市A
2009-07-13,0.034,0.031,0.079,城市A
2009-07-14,0.022,0.028,0.05,城市A
2009-07-15,0.032,0.043,0.063,城市A
2009-07-16,0.033,0.035,0.078,城市A
2009-07-17,0.024,0.031,0.057,城市A
2009-07-18,0.029,0.03,0.04,城市A
2009-07-19,0.024,0.052,0.109,城市A
2009-07-20,0.022,0.026,0.052,城市A
2009-07-21,0.03,0.043,0.068,城市A
2009-07-22,0.041,0.037,0.075,城市A
2009-07-23,0.068,0.036,0.06,城市A
2009-07-24,0.024,0.028,0.041,城市A
2009-07-25,0.022,0.025,0.037,城市A
