data,SO2,NO2,PM10,city
2009-06-01,0.029,0.028,0.028,城市C
2009-06-02,0.029,0.024,0.059,城市C
2009-06-03,0.014,0.02,0.031,城市C
2009-06-04,0.047,0.033,0.033,城市C
2009-06-05,0.011,0.036,0.04,城市C
2009-06-06,0.0,0.0,0.0,城市C
2009-06-07,0.011,0.019,0.024,城市C
2009-06-08,0.007,0.021,0.037,城市C
2009-06-09,0.005,0.008,0.015,城市C
2009-06-10,0.005,0.014,0.011,城市C
2009-06-11,0.011,0.025,0.019,城市C
2009-06-12,0.006,0.013,0.017,城市C
2009-06-13,0.005,0.023,0.022,城市C
2009-06-14,0.014,0.028,0.029,城市C
2009-06-15,0.017,0.037,0.034,城市C
2009-06-16,0.013,0.036,0.077,城市C
2009-06-17,0.003,0.048,0.067,城市C
2009-06-18,0.006,0.031,0.06,城市C
2009-06-19,0.004,0.032,0.053,城市C
2009-06-20,0.017,0.023,0.057,城市C
2009-06-21,0.009,0.015,0.05,城市C
2009-06-22,0.021,0.025,0.029,城市C
2009-06-23,0.016,0.02,0.028,城市C
2009-06-24,0.042,0.033,0.033,城市C
2009-06-25,0.077,0.046,0.054,城市C
2009-06-26,0.054,0.055,0.084,城市C
2009-06-27,0.013,0.032,0.054,城市C
2009-06-28,0.03,0.018,0.062,城市C
2009-06-29,0.017,0.018,0.022,城市C
2009-06-30,0.008,0.009,0.021,城市C
2009-07-01,0.019,0.013,0.02,城市C
2009-07-02,0.025,0.017,0.02,城市C
2009-07-03,0.063,0.031,0.03,城市C
2009-07-04,0.03,0.047,0.049,城市C
2009-07-05,0.02,0.021,0.058,城市C
2009-07-06,0.009,0.02,0.04,城市C
2009-07-07,0.031,0.029,0.025,城市C
2009-07-08,0.013,0.024,0.033,城市C
2009-07-09,0.004,0.032,0.018,城市C
2009-07-10,0.013,0.052,0.032,城市C
2009-07-11,0.0,0.0,0.0,城市C
2009-07-12,0.011,0.042,0.035,城市C
2009-07-13,0.023,0.035,0.031,城市C
2009-07-14,0.003,0.046,0.029,城市C
2009-07-15,0.011,0.032,0.015,城市C
2009-07-16,0.006,0.034,0.034,城市C
2009-07-17,0.004,0.019,0.037,城市C
2009-07-18,0.004,0.015,0.024,城市C
2009-07-19,0.004,0.031,0.033,城市C
2009-07-20,0.003,0.012,0.031,城市C
2009-07-21,0.013,0.049,0.031,城市C
2009-07-22,0.018,0.037,0.02,城市C
2009-07-23,0.013,0.038,0.032,城市C
2009-07-24,0.011,0.018,0.022,城市C
2009-07-25,0.004,0.018,0.013,城市C
