data,SO2,NO2,PM10,city
2009-06-01,0.025,0.034,0.108,城市D
2009-06-02,0.028,0.028,0.094,城市D
2009-06-03,0.011,0.023,0.061,城市D
2009-06-04,0.036,0.045,0.09,城市D
2009-06-05,0.025,0.039,0.106,城市D
2009-06-06,0.01,0.025,0.08,城市D
2009-06-07,0.013,0.027,0.081,城市D
2009-06-08,0.014,0.027,0.07,城市D
2009-06-09,0.01,0.02,0.05,城市D
2009-06-10,0.009,0.015,0.037,城市D
2009-06-11,0.015,0.026,0.061,城市D
2009-06-12,0.011,0.021,0.062,城市D
2009-06-13,0.014,0.025,0.06,城市D
2009-06-14,0.016,0.025,0.061,城市D
2009-06-15,0.019,0.041,0.082,城市D
2009-06-16,0.019,0.047,0.136,城市D
2009-06-17,0.005,0.04,0.111,城市D
2009-06-18,0.005,0.03,0.094,城市D
2009-06-19,0.003,0.022,0.078,城市D
2009-06-20,0.022,0.034,0.158,城市D
2009-06-21,0.014,0.026,0.123,城市D
2009-06-22,0.018,0.022,0.085,城市D
2009-06-23,0.016,0.027,0.071,城市D
2009-06-24,0.033,0.04,0.125,城市D
2009-06-25,0.032,0.047,0.118,城市D
2009-06-26,0.037,0.0,0.157,城市D
2009-06-27,0.01,0.032,0.079,城市D
2009-06-28,0.014,0.014,0.128,城市D
2009-06-29,0.017,0.027,0.079,城市D
2009-06-30,0.009,0.004,0.045,城市D
2009-07-01,0.024,0.014,0.06,城市D
2009-07-02,0.023,0.016,0.05,城市D
2009-07-03,0.019,0.027,0.082,城市D
2009-07-04,0.027,0.058,0.035,城市D
2009-07-05,0.02,0.025,0.0,城市D
2009-07-06,0.013,0.019,0.0,城市D
2009-07-07,0.024,0.031,0.092,城市D
2009-07-08,0.008,0.028,0.056,城市D
2009-07-09,0.007,0.031,0.051,城市D
2009-07-10,0.02,0.057,0.13,城市D
2009-07-11,0.012,0.035,0.047,城市D
2009-07-12,0.009,0.034,0.045,城市D
2009-07-13,0.028,0.044,0.1,城市D
2009-07-14,0.004,0.033,0.038,城市D
2009-07-15,0.017,0.048,0.07,城市D
2009-07-16,0.005,0.041,0.064,城市D
2009-07-17,0.003,0.036,0.032,城市D
2009-07-18,0.004,0.029,0.021,城市D
2009-07-19,0.006,0.06,0.099,城市D
2009-07-20,0.013,0.027,0.035,城市D
2009-07-21,0.023,0.056,0.0,城市D
2009-07-22,0.021,0.047,0.064,城市D
2009-07-23,0.014,0.038,0.054,城市D
2009-07-24,0.013,0.022,0.042,城市D
2009-07-25,0.012,0.018,0.029,城市D
