data,SO2,NO2,PM10,city
2009-06-01,0.037,0.031,0.098,城市A
2009-06-02,0.034,0.027,0.067,城市A
2009-06-03,0.027,0.025,0.039,城市A
2009-06-04,0.04,0.035,0.067,城市A
2009-06-05,0.035,0.03,0.076,城市A
2009-06-06,0.027,0.021,0.056,城市A
2009-06-07,0.026,0.023,0.047,城市A
2009-06-08,0.026,0.023,0.061,城市A
2009-06-09,0.027,0.019,0.051,城市A
2009-06-10,0.025,0.018,0.038,城市A
2009-06-11,0.036,0.024,0.061,城市A
2009-06-12,0.028,0.017,0.055,城市A
2009-06-13,0.032,0.025,0.05,城市A
2009-06-14,0.035,0.019,0.049,城市A
2009-06-15,0.037,0.027,0.074,城市A
2009-06-16,0.044,0.031,0.128,城市A
2009-06-17,0.029,0.029,0.102,城市A
2009-06-18,0.033,0.026,0.085,城市A
2009-06-19,0.031,0.023,0.095,城市A
2009-06-20,0.045,0.023,0.129,城市A
2009-06-21,0.032,0.022,0.105,城市A
2009-06-22,0.033,0.021,0.068,城市A
2009-06-23,0.033,0.024,0.075,城市A
2009-06-24,0.056,0.035,0.1,城市A
2009-06-25,0.059,0.041,0.101,城市A
2009-06-26,0.065,0.049,0.148,城市A
2009-06-27,0.051,0.03,0.068,城市A
2009-06-28,0.044,0.021,0.101,城市A
2009-06-29,0.066,0.024,0.062,城市A
2009-06-30,0.035,0.018,0.053,城市A
2009-07-01,0.052,0.023,0.038,城市A
2009-07-02,0.045,0.025,0.03,城市A
2009-07-03,0.057,0.034,0.063,城市A
2009-07-04,0.076,0.043,0.093,城市A
2009-07-05,0.073,0.036,0.089,城市A
2009-07-06,0.056,0.028,0.077,城市A
2009-07-07,0.07,0.031,0.051,城市A
2009-07-08,0.049,0.029,0.061,城市A
2009-07-09,0.034,0.026,0.041,城市A
2009-07-10,0.037,0.04,0.096,城市A
2009-07-11,0.026,0.027,0.058,城市A
2009-07-12,0.023,0.029,0.065,城市A
2009-07-13,0.034,0.031,0.079,城市A
2009-07-14,0.022,0.028,0.05,城市A
2009-07-15,0.032,0.043,0.063,城市A
2009-07-16,0.033,0.035,0.078,城市A
2009-07-17,0.024,0.031,0.057,城市A
2009-07-18,0.029,0.03,0.04,城市A
2009-07-19,0.024,0.052,0.109,城市A
2009-07-20,0.022,0.026,0.052,城市A
2009-07-21,0.03,0.043,0.068,城市A
2009-07-22,0.041,0.037,0.075,城市A
2009-07-23,0.068,0.036,0.06,城市A
2009-07-24,0.024,0.028,0.041,城市A
2009-07-25,0.022,0.025,0.037,城市A
2009-06-01,0.03,0.032,0.058,城市B
2009-06-02,0.034,0.032,0.06,城市B
2009-06-03,0.018,0.028,0.052,城市B
2009-06-04,0.039,0.042,0.065,城市B
2009-06-05,0.036,0.041,0.068,城市B
2009-06-06,0.025,0.03,0.041,城市B
2009-06-07,0.023,0.029,0.048,城市B
2009-06-08,0.017,0.028,0.05,城市B
2009-06-09,0.01,0.03,0.034,城市B
2009-06-10,0.009,0.023,0.024,城市B
2009-06-11,0.013,0.028,0.031,城市B
2009-06-12,0.016,0.027,0.034,城市B
2009-06-13,0.023,0.033,0.042,城市B
2009-06-14,0.051,0.04,0.046,城市B
2009-06-15,0.081,0.054,0.052,城市B
2009-06-16,0.1,0.062,0.094,城市B
2009-06-17,0.019,0.041,0.071,城市B
2009-06-18,0.019,0.031,0.059,城市B
2009-06-19,0.009,0.023,0.054,城市B
2009-06-20,0.017,0.029,0.084,城市B
2009-06-21,0.011,0.026,0.066,城市B
2009-06-22,0.02,0.022,0.047,城市B
2009-06-23,0.018,0.029,0.043,城市B
2009-06-24,0.036,0.038,0.048,城市B
2009-06-25,0.045,0.051,0.089,城市B
2009-06-26,0.081,0.052,0.127,城市B
2009-06-27,0.029,0.039,0.052,城市B
2009-06-28,0.01,0.026,0.081,城市B
2009-06-29,0.011,0.032,0.049,城市B
2009-06-30,0.008,0.023,0.049,城市B
2009-07-01,0.046,0.025,0.042,城市B
2009-07-02,0.056,0.028,0.038,城市B
2009-07-03,0.061,0.041,0.05,城市B
2009-07-04,0.094,0.055,0.081,城市B
2009-07-05,0,0.067,0.085,城市B
2009-07-06,0,0.057,0.073,城市B
2009-07-07,0.035,0.037,0.045,城市B
2009-07-08,0.019,0.028,0.044,城市B
2009-07-09,0.019,0.031,0.041,城市B
2009-07-10,0.038,0.05,0.073,城市B
2009-07-11,0.028,0.03,0.044,城市B
2009-07-12,0.066,0.027,0.05,城市B
2009-07-13,0.091,0.038,0.066,城市B
2009-07-14,0.071,0.033,0.04,城市B
2009-07-15,0.049,0.046,0.056,城市B
2009-07-16,0.011,0.031,0.057,城市B
2009-07-17,0.004,0.032,0.055,城市B
2009-07-18,0.006,0.032,0.04,城市B
2009-07-19,0.01,0.05,0.078,城市B
2009-07-20,0.027,0.028,0.046,城市B
2009-07-21,0.063,0.045,0.069,城市B
2009-07-22,0.039,0.036,0.044,城市B
2009-07-23,0.061,0.031,0.047,城市B
2009-07-24,0.059,0.022,0.033,城市B
2009-07-25,0.057,0.021,0.027,城市B
2009-06-01,0.029,0.028,0.028,城市C
2009-06-02,0.029,0.024,0.059,城市C
2009-06-03,0.014,0.02,0.031,城市C
2009-06-04,0.047,0.033,0.033,城市C
2009-06-05,0.011,0.036,0.04,城市C
2009-06-06,0,0,0,城市C
2009-06-07,0.011,0.019,0.024,城市C
2009-06-08,0.007,0.021,0.037,城市C
2009-06-09,0.005,0.008,0.015,城市C
2009-06-10,0.005,0.014,0.011,城市C
2009-06-11,0.011,0.025,0.019,城市C
2009-06-12,0.006,0.013,0.017,城市C
2009-06-13,0.005,0.023,0.022,城市C
2009-06-14,0.014,0.028,0.029,城市C
2009-06-15,0.017,0.037,0.034,城市C
2009-06-16,0.013,0.036,0.077,城市C
2009-06-17,0.003,0.048,0.067,城市C
2009-06-18,0.006,0.031,0.06,城市C
2009-06-19,0.004,0.032,0.053,城市C
2009-06-20,0.017,0.023,0.057,城市C
2009-06-21,0.009,0.015,0.05,城市C
2009-06-22,0.021,0.025,0.029,城市C
2009-06-23,0.016,0.02,0.028,城市C
2009-06-24,0.042,0.033,0.033,城市C
2009-06-25,0.077,0.046,0.054,城市C
2009-06-26,0.054,0.055,0.084,城市C
2009-06-27,0.013,0.032,0.054,城市C
2009-06-28,0.03,0.018,0.062,城市C
2009-06-29,0.017,0.018,0.022,城市C
2009-06-30,0.008,0.009,0.021,城市C
2009-07-01,0.019,0.013,0.02,城市C
2009-07-02,0.025,0.017,0.02,城市C
2009-07-03,0.063,0.031,0.03,城市C
2009-07-04,0.03,0.047,0.049,城市C
2009-07-05,0.02,0.021,0.058,城市C
2009-07-06,0.009,0.02,0.04,城市C
2009-07-07,0.031,0.029,0.025,城市C
2009-07-08,0.013,0.024,0.033,城市C
2009-07-09,0.004,0.032,0.018,城市C
2009-07-10,0.013,0.052,0.032,城市C
2009-07-11,0,0,0,城市C
2009-07-12,0.011,0.042,0.035,城市C
2009-07-13,0.023,0.035,0.031,城市C
2009-07-14,0.003,0.046,0.029,城市C
2009-07-15,0.011,0.032,0.015,城市C
2009-07-16,0.006,0.034,0.034,城市C
2009-07-17,0.004,0.019,0.037,城市C
2009-07-18,0.004,0.015,0.024,城市C
2009-07-19,0.004,0.031,0.033,城市C
2009-07-20,0.003,0.012,0.031,城市C
2009-07-21,0.013,0.049,0.031,城市C
2009-07-22,0.018,0.037,0.02,城市C
2009-07-23,0.013,0.038,0.032,城市C
2009-07-24,0.011,0.018,0.022,城市C
2009-07-25,0.004,0.018,0.013,城市C
2009-06-01,0.025,0.034,0.108,城市D
2009-06-02,0.028,0.028,0.094,城市D
2009-06-03,0.011,0.023,0.061,城市D
2009-06-04,0.036,0.045,0.09,城市D
2009-06-05,0.025,0.039,0.106,城市D
2009-06-06,0.01,0.025,0.08,城市D
2009-06-07,0.013,0.027,0.081,城市D
2009-06-08,0.014,0.027,0.07,城市D
2009-06-09,0.01,0.02,0.05,城市D
2009-06-10,0.009,0.015,0.037,城市D
2009-06-11,0.015,0.026,0.061,城市D
2009-06-12,0.011,0.021,0.062,城市D
2009-06-13,0.014,0.025,0.06,城市D
2009-06-14,0.016,0.025,0.061,城市D
2009-06-15,0.019,0.041,0.082,城市D
2009-06-16,0.019,0.047,0.136,城市D
2009-06-17,0.005,0.04,0.111,城市D
2009-06-18,0.005,0.03,0.094,城市D
2009-06-19,0.003,0.022,0.078,城市D
2009-06-20,0.022,0.034,0.158,城市D
2009-06-21,0.014,0.026,0.123,城市D
2009-06-22,0.018,0.022,0.085,城市D
2009-06-23,0.016,0.027,0.071,城市D
2009-06-24,0.033,0.04,0.125,城市D
2009-06-25,0.032,0.047,0.118,城市D
2009-06-26,0.037,0,0.157,城市D
2009-06-27,0.01,0.032,0.079,城市D
2009-06-28,0.014,0.014,0.128,城市D
2009-06-29,0.017,0.027,0.079,城市D
2009-06-30,0.009,0.004,0.045,城市D
2009-07-01,0.024,0.014,0.06,城市D
2009-07-02,0.023,0.016,0.05,城市D
2009-07-03,0.019,0.027,0.082,城市D
2009-07-04,0.027,0.058,0.035,城市D
2009-07-05,0.02,0.025,0,城市D
2009-07-06,0.013,0.019,0,城市D
2009-07-07,0.024,0.031,0.092,城市D
2009-07-08,0.008,0.028,0.056,城市D
2009-07-09,0.007,0.031,0.051,城市D
