,城市A,,,城市B,,,,城市C,,城市D,,,城市A的气象参数,,,
,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,SO2,NO2,PM10,mmhg,tem,rh,ws
2009/6/1,0.037 ,0.031 ,0.098 ,0.030 ,0.032 ,0.058 ,0.029 ,0.028 ,0.028 ,0.025 ,0.034 ,0.108 ,663.729,21.979,16.458,1.958
2009/6/2,0.034 ,0.027 ,0.067 ,0.034 ,0.032 ,0.060 ,0.029 ,0.024 ,0.059 ,0.028 ,0.028 ,0.094 ,660.125,22.167,18.5,1.479
2009/6/3,0.027 ,0.025 ,0.039 ,0.018 ,0.028 ,0.052 ,0.014 ,0.020 ,0.031 ,0.011 ,0.023 ,0.061 ,668.617,21.319,17.17,1.872
2009/6/4,0.040 ,0.035 ,0.067 ,0.039 ,0.042 ,0.065 ,0.047 ,0.033 ,0.033 ,0.036 ,0.045 ,0.090 ,665.625,20.667,18.708,0.938
2009/6/5,0.035 ,0.030 ,0.076 ,0.036 ,0.041 ,0.068 ,0.011 ,0.036 ,0.040 ,0.025 ,0.039 ,0.106 ,664.146,19.063,40.917,1.188
2009/6/6,0.027 ,0.021 ,0.056 ,0.025 ,0.030 ,0.041 ,0.000 ,0.000 ,0.000 ,0.010 ,0.025 ,0.080 ,669.167,21,41.563,1.354
2009/6/7,0.026 ,0.023 ,0.047 ,0.023 ,0.029 ,0.048 ,0.011 ,0.019 ,0.024 ,0.013 ,0.027 ,0.081 ,672.146,18.479,49.563,1.646
2009/6/8,0.026 ,0.023 ,0.061 ,0.017 ,0.028 ,0.050 ,0.007 ,0.021 ,0.037 ,0.014 ,0.027 ,0.070 ,671.5,19,61.146,1.729
2009/6/9,0.027 ,0.019 ,0.051 ,0.010 ,0.030 ,0.034 ,0.005 ,0.008 ,0.015 ,0.010 ,0.020 ,0.050 ,663.917,21.042,47.104,2
2009/6/10,0.025 ,0.018 ,0.038 ,0.009 ,0.023 ,0.024 ,0.005 ,0.014 ,0.011 ,0.009 ,0.015 ,0.037 ,666.146,16.979,51.813,1.667
2009/6/11,0.036 ,0.024 ,0.061 ,0.013 ,0.028 ,0.031 ,0.011 ,0.025 ,0.019 ,0.015 ,0.026 ,0.061 ,665.3,21,28,2.7
2009/6/12,0.028 ,0.017 ,0.055 ,0.016 ,0.027 ,0.034 ,0.006 ,0.013 ,0.017 ,0.011 ,0.021 ,0.062 ,664.25,21.458,23.375,2.417
2009/6/13,0.032 ,0.025 ,0.050 ,0.023 ,0.033 ,0.042 ,0.005 ,0.023 ,0.022 ,0.014 ,0.025 ,0.060 ,666.821,20.211,33.436,1.205
2009/6/14,0.035 ,0.019 ,0.049 ,0.051 ,0.040 ,0.046 ,0.014 ,0.028 ,0.029 ,0.016 ,0.025 ,0.061 ,669.167,22.063,34.396,1.146
2009/6/15,0.037 ,0.027 ,0.074 ,0.081 ,0.054 ,0.052 ,0.017 ,0.037 ,0.034 ,0.019 ,0.041 ,0.082 ,668.667,21.563,39.563,1.208
2009/6/16,0.044 ,0.031 ,0.128 ,0.100 ,0.062 ,0.094 ,0.013 ,0.036 ,0.077 ,0.019 ,0.047 ,0.136 ,673.521,24.104,46.021,1.333
2009/6/17,0.029 ,0.029 ,0.102 ,0.019 ,0.041 ,0.071 ,0.003 ,0.048 ,0.067 ,0.005 ,0.040 ,0.111 ,671.75,18.854,76.771,1.146
2009/6/18,0.033 ,0.026 ,0.085 ,0.019 ,0.031 ,0.059 ,0.006 ,0.031 ,0.060 ,0.005 ,0.030 ,0.094 ,675.256,24.205,51.667,2.026
2009/6/19,0.031 ,0.023 ,0.095 ,0.009 ,0.023 ,0.054 ,0.004 ,0.032 ,0.053 ,0.003 ,0.022 ,0.078 ,663.891,20.761,69.13,1.644
2009/6/20,0.045 ,0.023 ,0.129 ,0.017 ,0.029 ,0.084 ,0.017 ,0.023 ,0.057 ,0.022 ,0.034 ,0.158 ,662.378,20.289,22.511,1.8
2009/6/21,0.032 ,0.022 ,0.105 ,0.011 ,0.026 ,0.066 ,0.009 ,0.015 ,0.050 ,0.014 ,0.026 ,0.123 ,659.021,24.146,21.104,2.438
2009/6/22,0.033 ,0.021 ,0.068 ,0.020 ,0.022 ,0.047 ,0.021 ,0.025 ,0.029 ,0.018 ,0.022 ,0.085 ,662.813,18.167,28.542,1.521
2009/6/23,0.033 ,0.024 ,0.075 ,0.018 ,0.029 ,0.043 ,0.016 ,0.020 ,0.028 ,0.016 ,0.027 ,0.071 ,661.792,23.208,24.063,1.404
2009/6/24,0.056 ,0.035 ,0.100 ,0.036 ,0.038 ,0.048 ,0.042 ,0.033 ,0.033 ,0.033 ,0.040 ,0.125 ,663.447,24.213,25.277,1.149
